id_rodada,trecho,refatoracao_tipo,persona,replica,status,complexity_base,complexity_pos,complexity_delta,smells_base,smells_pos,smells_delta,tempo_execucao_seg,token_count,prompt_tokens,candidates_tokens
95,Math_1_ReplaceMagicNumber_201,ReplaceMagicNumber,P-4,1,VALIDO,2,2,0,0,0,0,45.0,2464,630,604
96,Math_1_ReplaceMagicNumber_201,ReplaceMagicNumber,P-4,2,VALIDO,2,2,0,0,0,0,39.29,3329,630,599
97,Math_1_ReplaceMagicNumber_169,ReplaceMagicNumber,P-1,1,VALIDO,5,5,0,2,2,0,51.84,3612,722,676
98,Math_1_ReplaceMagicNumber_169,ReplaceMagicNumber,P-1,2,VALIDO,5,5,0,2,2,0,45.4,3735,722,674
99,Math_1_ReplaceMagicNumber_169,ReplaceMagicNumber,P-2,1,VALIDO,5,5,0,2,2,0,42.32,2720,666,671
100,Math_1_ReplaceMagicNumber_169,ReplaceMagicNumber,P-2,2,VALIDO,5,5,0,2,2,0,39.64,2628,666,669
101,Math_1_ReplaceMagicNumber_169,ReplaceMagicNumber,P-3,1,VALIDO,5,5,0,2,2,0,39.9,3599,673,667
102,Math_1_ReplaceMagicNumber_169,ReplaceMagicNumber,P-3,2,VALIDO,5,5,0,2,2,0,38.24,2603,673,671
103,Math_1_ReplaceMagicNumber_169,ReplaceMagicNumber,P-4,1,VALIDO,5,5,0,2,2,0,40.67,2955,694,668
104,Math_1_ReplaceMagicNumber_169,ReplaceMagicNumber,P-4,2,VALIDO,5,5,0,2,2,0,37.87,3169,694,671
105,Math_1_ReplaceMagicNumber_167,ReplaceMagicNumber,P-1,1,VALIDO,5,5,0,2,2,0,50.24,3257,723,672
106,Math_1_ReplaceMagicNumber_167,ReplaceMagicNumber,P-1,2,VALIDO,5,5,0,2,2,0,76.04,3951,723,722
107,Math_1_ReplaceMagicNumber_167,ReplaceMagicNumber,P-2,1,VALIDO,5,5,0,2,2,0,44.98,2428,667,670
108,Math_1_ReplaceMagicNumber_167,ReplaceMagicNumber,P-2,2,VALIDO,5,5,0,2,2,0,41.06,2512,667,674
109,Math_1_ReplaceMagicNumber_167,ReplaceMagicNumber,P-3,1,VALIDO,5,5,0,2,2,0,39.42,3702,674,674
110,Math_1_ReplaceMagicNumber_167,ReplaceMagicNumber,P-3,2,VALIDO,5,5,0,2,2,0,38.82,2680,674,670
111,Math_1_ReplaceMagicNumber_167,ReplaceMagicNumber,P-4,1,VALIDO,5,5,0,2,2,0,39.51,2831,695,671
112,Math_1_ReplaceMagicNumber_167,ReplaceMagicNumber,P-4,2,VALIDO,5,5,0,2,2,0,45.97,2848,695,675
113,Math_1_ReplaceMagicNumber_189,ReplaceMagicNumber,P-1,1,VALIDO,8,8,0,0,0,0,52.12,3621,862,803
114,Math_1_ReplaceMagicNumber_189,ReplaceMagicNumber,P-1,2,VALIDO,8,8,0,0,0,0,42.58,3634,862,816
115,Math_1_ReplaceMagicNumber_189,ReplaceMagicNumber,P-2,1,VALIDO,8,8,0,0,0,0,40.04,3866,806,794
116,Math_1_ReplaceMagicNumber_189,ReplaceMagicNumber,P-2,2,VALIDO,8,8,0,0,0,0,42.65,2619,806,812
117,Math_1_ReplaceMagicNumber_189,ReplaceMagicNumber,P-3,1,VALIDO,8,8,0,0,0,0,45.09,2711,813,811
118,Math_1_ReplaceMagicNumber_189,ReplaceMagicNumber,P-3,2,VALIDO,8,8,0,0,0,0,41.85,3488,813,809
